Fourmi ;Début;Temps;Risque;parcours 
Fourmi [1] ;0;20;27;1;2;5;8;9;16
Fourmi [2] ;0;23;32;1;2;3;6;9;8;18
Fourmi [3] ;0;16;24;1;4;5;6;9;17
Fourmi [4] ;0;12;7;1;4;7;18
Fourmi [5] ;0;30;31;1;2;3;6;5;4;7;18
Fourmi [6] ;0;38;50;1;2;3;6;5;8;11;10;7;16
Fourmi [7] ;0;14;16;1;4;7;17
Fourmi [8] ;0;25;16;1;2;5;4;7;18
Fourmi [9] ;0;45;55;1;2;3;6;9;12;11;14;13;10;7;18
Fourmi [10] ;1;16;16;1;4;7;17
Fourmi [11] ;1;19;19;1;4;5;8;18
Fourmi [12] ;1;36;32;1;2;3;6;5;4;7;16
Fourmi [13] ;1;30;23;1;2;3;6;9;16
Fourmi [14] ;1;28;25;1;4;5;6;9;16
Fourmi [15] ;1;22;8;1;4;7;16
Fourmi [16] ;2;28;20;1;2;5;8;17
Fourmi [17] ;2;33;28;1;2;3;6;9;18
Fourmi [18] ;2;24;16;1;4;7;17
Fourmi [19] ;2;39;35;1;2;3;6;5;8;17
Fourmi [20] ;2;44;40;1;2;3;6;9;12;11;8;16
Fourmi [21] ;2;28;17;1;4;7;8;18
Fourmi [22] ;2;45;40;1;2;3;6;5;4;7;17
Fourmi [23] ;2;39;26;1;2;5;4;7;8;18
Fourmi [24] ;2;35;36;1;4;5;8;7;17
Fourmi [25] ;2;34;19;1;4;7;8;16
